model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否存在价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
Qwen2.5-32B-Instruct,去社区医院预约特快出租车用滴滴,"|序号id|应用名称|车型大类|车辆类型|价格|
Qwen2.5-32B-Instruct,准备去大理洱海，叫个特价车，价格68左右,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|39-39|
|1|高德地图|     |特惠快车|42-43|
|2|高德地图|经济型|添猫出行|47|
|3|高德地图|经济型|腾飞出行|47|
|4|高德地图|经济型|旗妙出行|47|
|5|高德地图|经济型|妥妥E行|48|
|6|高德地图|经济型|及时用车|48|
|7|高德地图|经济型|K9用车|49|
|8|高德地图|经济型|如祺出行|49|
|9|高德地图|经济型|飞嘀打车|50|
|10|高德地图|经济型|深圳出租|50|
|11|高德地图|经济型|首汽约车|50|
|12|高德地图|经济型|方舟行|50|
|13|高德地图|经济型|斑马快跑|51|
|14|高德地图|经济型|东潮出行|51|
|15|高德地图|经济型|渔阳出行|51|
|16|高德地图|经济型|中交出行|51|
|17|高德地图|特快车|超值体验 更快上车|52|
|18|高德地图|出租车|车多应答快|61|
|19|高德地图|优享型|添猫出行|63|
|20|高德地图|优享型|妥妥E行|63|
|21|高德地图|优享型|火箭出行|63|
|22|高德地图|优享型|优e出行特选|64|
|23|高德地图|优享型|AA出行|64|
|24|高德地图|优享型|首汽约车|64|
|25|高德地图|优享型|斑马快跑|64|
|26|高德地图|优享型|神州专车|65|
|27|高德地图|优享型|星徽出行|65|
|28|高德地图|优享型|享道出行|66|
|29|高德地图|轻享专车|静音不打扰 整洁无异味|70|
|30|高德地图|品质专车|静音不打扰 整洁无异味|81|
|31|高德地图|六座商务|宽敞空间 商务体验|88|
|32|高德地图|豪华型|车型高端 服务专业|93|
|33|高德地图|经济|首汽约车|107|
|34|高德地图|拼车|出租车拼车|117|
|35|高德地图|特价出发|更多特价|125|
|36|高德地图|快速出发|无|139|
|37|高德地图|惠享专车|好车好服务|153|
|38|高德地图|推荐|特惠快车|168|
|39|高德地图|推荐|极速拼车|169|
|40|高德地图|豪华型|undefined|114-118|",,,"[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": True, ""price_min"": 68, ""price_max"": 68, ""fast"": False}]",无,,无,特价车,特价出发,特价出发,无,特惠快车,特惠快车,True,,True,68,,68,68,,68,1.105191708,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,万晓蓉,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '星徽出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '神州专车'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '好车好服务'}, {'拼车': '出租车拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': 'K9用车'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '及时用车'}, {'经济型': '如祺出行'}, {'经济型': '妥妥E行'}, {'经济型': '斑马快跑'}, {'经济型': '方舟行'}, {'经济型': '旗妙出行'}, {'经济型': '深圳出租'}, {'经济型': '添猫出行'}, {'经济型': '渔阳出行'}, {'经济型': '腾飞出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",特价出发,特惠快车,,准备去大理洱海，叫个特价车，价格68左右
Qwen2.5-32B-Instruct,去肇庆七星岩，仅限特价车，费用60以内,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|47-49|
|1|高德地图|     |特惠快车|53-53|
|2|高德地图|经济型|旅程出租|57|
|3|高德地图|经济型|旗妙出行|58|
|4|高德地图|经济型|日初出行|58|
|5|高德地图|经济型|AA出行|59|
|6|高德地图|经济型|曹操出行|59|
|7|高德地图|经济型|飞嘀打车|59|
|8|高德地图|经济型|深圳出租|60|
|9|高德地图|经济型|神州专车|60|
|10|高德地图|经济型|阳光出行|61|
|11|高德地图|经济型|渔阳出行|61|
|12|高德地图|经济型|中军出行|61|
|13|高德地图|特快车|超值体验 更快上车|64|
|14|高德地图|出租车|车多应答快|73|
|15|高德地图|优享型|添猫出行|77|
|16|高德地图|优享型|旗妙出行|77|
|17|高德地图|优享型|全民GO|78|
|18|高德地图|优享型|妥妥E行|78|
|19|高德地图|优享型|及时用车|78|
|20|高德地图|优享型|风韵出行|78|
|21|高德地图|优享型|优e出行特选|78|
|22|高德地图|优享型|曹操出行|80|
|23|高德地图|优享型|首汽约车|80|
|24|高德地图|优享型|斑马快跑|81|
|25|高德地图|优享型|神州专车|81|
|26|高德地图|优享型|中交出行|81|
|27|高德地图|轻享专车|静音不打扰 整洁无异味|89|
|28|高德地图|品质专车|静音不打扰 整洁无异味|98|
|29|高德地图|六座商务|宽敞空间 商务体验|105|
|30|高德地图|豪华型|车型高端 服务专业|116|
|31|高德地图|经济|首汽约车|130|
|32|高德地图|拼车|特惠快车|140|
|33|高德地图|特价出发|惊喜特价|156|
|34|高德地图|快速出发|无|170|
|35|高德地图|惠享专车|神州专车|189|
|36|高德地图|推荐|极速拼车|208|
|37|高德地图|豪华型|undefined|133-134|",,,"[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 60, ""fast"": False}]",无,,无,特价车,特价出发,特价出发,无,特惠快车,特惠快车,True,,True,0,,0,60,,60,1.104520082,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,万晓蓉,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '中交出行'}, {'优享型': '优e出行特选'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '旗妙出行'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '神州专车'}, {'优享型': '风韵出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '神州专车'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': 'AA出行'}, {'经济型': '中军出行'}, {'经济型': '旅程出租'}, {'经济型': '旗妙出行'}, {'经济型': '日初出行'}, {'经济型': '曹操出行'}, {'经济型': '深圳出租'}, {'经济型': '渔阳出行'}, {'经济型': '神州专车'}, {'经济型': '阳光出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",特价出发,特惠快车,,去肇庆七星岩，仅限特价车，费用60以内
Qwen2.5-32B-Instruct,我要到江西庐山，帮叫辆特价车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|45-46|
|1|高德地图|     |特惠快车|51-52|
|2|高德地图|经济型|旗妙出行|55|
|3|高德地图|经济型|全民GO|55|
|4|高德地图|经济型|日初出行|55|
|5|高德地图|经济型|5U出行|56|
|6|高德地图|经济型|如祺出行|56|
|7|高德地图|经济型|AA出行|56|
|8|高德地图|经济型|飞嘀打车|57|
|9|高德地图|经济型|北京新出租|57|
|10|高德地图|经济型|深圳出租|58|
|11|高德地图|经济型|900出行|58|
|12|高德地图|经济型|斑马快跑|58|
|13|高德地图|经济型|T3出行|59|
|14|高德地图|经济型|有序出行|59|
|15|高德地图|经济型|神州专车|59|
|16|高德地图|经济型|北京的士|59|
|17|高德地图|特快车|超值体验 更快上车|61|
|18|高德地图|出租车|车多应答快|71|
|19|高德地图|优享型|添猫出行|74|
|20|高德地图|优享型|享道出行|75|
|21|高德地图|优享型|火箭出行|76|
|22|高德地图|优享型|及时用车|76|
|23|高德地图|优享型|首汽约车|77|
|24|高德地图|优享型|斑马快跑|77|
|25|高德地图|优享型|东潮出行|77|
|26|高德地图|优享型|T3出行|78|
|27|高德地图|优享型|环旅出行|78|
|28|高德地图|优享型|星徽出行|78|
|29|高德地图|优享型|中交出行|78|
|30|高德地图|轻享专车|静音不打扰 整洁无异味|83|
|31|高德地图|品质专车|静音不打扰 整洁无异味|93|
|32|高德地图|六座商务|宽敞空间 商务体验|102|
|33|高德地图|豪华型|车型高端 服务专业|111|
|34|高德地图|经济|首汽约车|122|
|35|高德地图|拼车|特惠快车|132|
|36|高德地图|拼车|出租车拼车|133|
|37|高德地图|特价出发|惊喜特价|149|
|38|高德地图|快速出发|无|164|
|39|高德地图|惠享专车|添猫出行|177|
|40|高德地图|惠享专车|阳光出行|178|
|41|高德地图|推荐|极速拼车|195|
|42|高德地图|推荐|推荐专车|196|
|43|高德地图|豪华型|undefined|129-134|",,,"[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特价车,特价出发,特价出发,无,特惠快车,特惠快车,False,,False,0,,0,0,,0,1.046138525,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,万晓蓉,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '星徽出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '环旅出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '添猫出行'}, {'惠享专车': '阳光出行'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '推荐专车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'T3出行'}, {'经济型': '全民GO'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '如祺出行'}, {'经济型': '斑马快跑'}, {'经济型': '旗妙出行'}, {'经济型': '日初出行'}, {'经济型': '有序出行'}, {'经济型': '深圳出租'}, {'经济型': '神州专车'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",特价出发,特惠快车,,我要到江西庐山，帮叫辆特价车
Qwen2.5-32B-Instruct,需要去龙虎山，叫一辆特价车，预算55元,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|9-12|
|1|高德地图|     |特惠快车|10-10|
|2|高德地图|经济型|日初出行|9|
|3|高德地图|经济型|及时用车|9|
|4|高德地图|经济型|K9用车|9|
|5|高德地图|经济型|AA出行|10|
|6|高德地图|经济型|北京新出租|10|
|7|高德地图|经济型|5U出行|10|
|8|高德地图|经济型|飞嘀打车|10|
|9|高德地图|经济型|900出行|11|
|10|高德地图|经济型|斑马快跑|11|
|11|高德地图|经济型|奇华出行|11|
|12|高德地图|经济型|方舟行|11|
|13|高德地图|经济型|东潮出行|11|
|14|高德地图|经济型|T3出行|12|
|15|高德地图|经济型|渔阳出行|12|
|16|高德地图|经济型|橄榄新出租|13|
|17|高德地图|经济型|中军出行|13|
|18|高德地图|经济型|易至出行|13|
|19|高德地图|特快车|超值体验 更快上车|11|
|20|高德地图|出租车|车多应答快|14|
|21|高德地图|优享型|腾飞出行|13|
|22|高德地图|优享型|全民GO|13|
|23|高德地图|优享型|及时用车|14|
|24|高德地图|优享型|风韵出行|14|
|25|高德地图|优享型|飞嘀打车|14|
|26|高德地图|优享型|斑马快跑|14|
|27|高德地图|优享型|阳光出行|15|
|28|高德地图|优享型|东潮出行|15|
|29|高德地图|优享型|环旅出行|16|
|30|高德地图|优享型|星徽出行|16|
|31|高德地图|优享型|享道出行|17|
|32|高德地图|轻享专车|静音不打扰 整洁无异味|18|
|33|高德地图|品质专车|静音不打扰 整洁无异味|20|
|34|高德地图|六座商务|宽敞空间 商务体验|19|
|35|高德地图|豪华型|车型高端 服务专业|23|
|36|高德地图|经济|首汽约车|23|
|37|高德地图|拼车|特惠快车|26|
|38|高德地图|拼车|出租车拼车|30|
|39|高德地图|特价出发|更多特价|30|
|40|高德地图|快速出发|无|34|
|41|高德地图|惠享专车|精选车型 优质司机|39|
|42|高德地图|推荐|极速拼车|39|
|43|高德地图|豪华型|undefined|41-45|",,,"[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 55, ""fast"": False}]",无,,无,特价车,特价出发,特价出发,无,特惠快车,特惠快车,True,,True,0,,0,55,,55,1.124098778,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,万晓蓉,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '东潮出行'}, {'优享型': '享道出行'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '星徽出行'}, {'优享型': '环旅出行'}, {'优享型': '腾飞出行'}, {'优享型': '阳光出行'}, {'优享型': '风韵出行'}, {'优享型': '飞嘀打车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'K9用车'}, {'经济型': 'T3出行'}, {'经济型': '东潮出行'}, {'经济型': '中军出行'}, {'经济型': '北京新出租'}, {'经济型': '及时用车'}, {'经济型': '奇华出行'}, {'经济型': '斑马快跑'}, {'经济型': '方舟行'}, {'经济型': '日初出行'}, {'经济型': '易至出行'}, {'经济型': '橄榄新出租'}, {'经济型': '渔阳出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",特价出发,特惠快车,,需要去龙虎山，叫一辆特价车，预算55元
Qwen2.5-32B-Instruct,准备去西宁塔尔寺，帮叫个特价车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|48-48|
|1|高德地图|     |特惠快车|54-55|
|2|高德地图|经济型|添猫出行|57|
|3|高德地图|经济型|旗妙出行|57|
|4|高德地图|经济型|全民GO|57|
|5|高德地图|经济型|5U出行|57|
|6|高德地图|经济型|北京新出租|57|
|7|高德地图|经济型|AA出行|58|
|8|高德地图|经济型|飞嘀打车|58|
|9|高德地图|经济型|有序出行|58|
|10|高德地图|经济型|首汽约车|58|
|11|高德地图|经济型|900出行|59|
|12|高德地图|经济型|斑马快跑|60|
|13|高德地图|经济型|奇华出行|60|
|14|高德地图|经济型|T3出行|60|
|15|高德地图|经济型|东潮出行|61|
|16|高德地图|经济型|神州专车|61|
|17|高德地图|经济型|星徽出行|61|
|18|高德地图|经济型|北京的士|61|
|19|高德地图|经济型|享道出行|61|
|20|高德地图|特快车|超值体验 更快上车|67|
|21|高德地图|出租车|车多应答快|72|
|22|高德地图|优享型|添猫出行|77|
|23|高德地图|优享型|火箭出行|77|
|24|高德地图|优享型|及时用车|77|
|25|高德地图|优享型|妥妥E行|78|
|26|高德地图|优享型|飞嘀打车|78|
|27|高德地图|优享型|阳光出行|79|
|28|高德地图|优享型|T3出行|80|
|29|高德地图|优享型|东潮出行|80|
|30|高德地图|优享型|神州专车|81|
|31|高德地图|优享型|星徽出行|81|
|32|高德地图|优享型|享道出行|81|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|86|
|34|高德地图|品质专车|静音不打扰 整洁无异味|97|
|35|高德地图|六座商务|宽敞空间 商务体验|107|
|36|高德地图|豪华型|车型高端 服务专业|115|
|37|高德地图|经济|首汽约车|126|
|38|高德地图|拼车|特惠快车|141|
|39|高德地图|特价出发|惊喜特价|157|
|40|高德地图|快速出发|无|170|
|41|高德地图|惠享专车|神州专车|187|
|42|高德地图|惠享专车|T3出行|187|
|43|高德地图|推荐|特惠快车|204|
|44|高德地图|推荐|极速拼车|204|
|45|高德地图|豪华型|undefined|132-134|",,,"[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特价车,特价出发,特价出发,无,特惠快车,特惠快车,False,,False,0,,0,0,,0,1.053007126,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,万晓蓉,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '享道出行'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '星徽出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '神州专车'}, {'优享型': '阳光出行'}, {'优享型': '飞嘀打车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'惠享专车': '神州专车'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'T3出行'}, {'经济型': '东潮出行'}, {'经济型': '享道出行'}, {'经济型': '全民GO'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '奇华出行'}, {'经济型': '斑马快跑'}, {'经济型': '旗妙出行'}, {'经济型': '星徽出行'}, {'经济型': '有序出行'}, {'经济型': '添猫出行'}, {'经济型': '神州专车'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",特价出发,特惠快车,,准备去西宁塔尔寺，帮叫个特价车
Qwen2.5-32B-Instruct,到贵州荔波，仅限特价车，价格不超过90,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|15-15|
|1|高德地图|     |特惠快车|17-20|
|2|高德地图|经济型|全民GO|17|
|3|高德地图|经济型|5U出行|18|
|4|高德地图|经济型|飞嘀打车|18|
|5|高德地图|经济型|365约车|18|
|6|高德地图|经济型|900出行|18|
|7|高德地图|经济型|首汽约车|19|
|8|高德地图|经济型|奇华出行|20|
|9|高德地图|经济型|星徽出行|21|
|10|高德地图|经济型|神州专车|21|
|11|高德地图|经济型|橄榄新出租|21|
|12|高德地图|经济型|中军出行|21|
|13|高德地图|经济型|北京的士|21|
|14|高德地图|特快车|超值体验 更快上车|19|
|15|高德地图|出租车|车多应答快|22|
|16|高德地图|优享型|添猫出行|24|
|17|高德地图|优享型|旗妙出行|24|
|18|高德地图|优享型|及时用车|24|
|19|高德地图|优享型|优e出行特选|24|
|20|高德地图|优享型|AA出行|24|
|21|高德地图|优享型|曹操出行|25|
|22|高德地图|优享型|首汽约车|27|
|23|高德地图|优享型|斑马快跑|27|
|24|高德地图|优享型|阳光出行|27|
|25|高德地图|优享型|T3出行|28|
|26|高德地图|优享型|神州专车|28|
|27|高德地图|优享型|星徽出行|28|
|28|高德地图|优享型|中交出行|28|
|29|高德地图|轻享专车|静音不打扰 整洁无异味|30|
|30|高德地图|品质专车|静音不打扰 整洁无异味|32|
|31|高德地图|六座商务|宽敞空间 商务体验|37|
|32|高德地图|豪华型|车型高端 服务专业|40|
|33|高德地图|经济|首汽约车|43|
|34|高德地图|拼车|特惠快车|45|
|35|高德地图|拼车|出租车拼车|47|
|36|高德地图|特价出发|惊喜特价|49|
|37|高德地图|特价出发|更多特价|51|
|38|高德地图|快速出发|无|55|
|39|高德地图|惠享专车|精选车型 优质司机|62|
|40|高德地图|惠享专车|T3出行|64|
|41|高德地图|推荐|极速拼车|70|
|42|高德地图|豪华型|undefined|58-63|",,,"[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 90, ""fast"": False}]",无,,无,特价车,特价出发,特价出发,无,特惠快车,特惠快车,True,,True,0,,0,90,,90,1.086540461,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,万晓蓉,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': 'T3出行'}, {'优享型': '中交出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '旗妙出行'}, {'优享型': '星徽出行'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '神州专车'}, {'优享型': '阳光出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': '中军出行'}, {'经济型': '全民GO'}, {'经济型': '北京的士'}, {'经济型': '奇华出行'}, {'经济型': '星徽出行'}, {'经济型': '橄榄新出租'}, {'经济型': '神州专车'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",特价出发,特惠快车,,到贵州荔波，仅限特价车，价格不超过90
Qwen2.5-32B-Instruct,我要去靖西通灵大峡谷，叫辆特价车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|22-25|
|1|高德地图|     |特惠快车|23-23|
|2|高德地图|经济型|旗妙出行|25|
|3|高德地图|经济型|J刻出行|25|
|4|高德地图|经济型|全民GO|26|
|5|高德地图|经济型|及时用车|26|
|6|高德地图|经济型|飞嘀打车|26|
|7|高德地图|经济型|深圳出租|26|
|8|高德地图|经济型|900出行|26|
|9|高德地图|经济型|首汽约车|27|
|10|高德地图|经济型|斑马快跑|27|
|11|高德地图|经济型|方舟行|27|
|12|高德地图|经济型|T3出行|28|
|13|高德地图|经济型|渔阳出行|29|
|14|高德地图|经济型|星徽出行|29|
|15|高德地图|经济型|北京的士|29|
|16|高德地图|特快车|超值体验 更快上车|29|
|17|高德地图|出租车|车多应答快|31|
|18|高德地图|优享型|添猫出行|35|
|19|高德地图|优享型|妥妥E行|35|
|20|高德地图|优享型|风韵出行|36|
|21|高德地图|优享型|及时用车|36|
|22|高德地图|优享型|火箭出行|36|
|23|高德地图|优享型|曹操出行|37|
|24|高德地图|优享型|首汽约车|38|
|25|高德地图|优享型|斑马快跑|38|
|26|高德地图|优享型|阳光出行|38|
|27|高德地图|优享型|T3出行|38|
|28|高德地图|优享型|环旅出行|39|
|29|高德地图|优享型|星徽出行|39|
|30|高德地图|优享型|享道出行|39|
|31|高德地图|轻享专车|静音不打扰 整洁无异味|40|
|32|高德地图|品质专车|静音不打扰 整洁无异味|44|
|33|高德地图|六座商务|宽敞空间 商务体验|51|
|34|高德地图|豪华型|车型高端 服务专业|52|
|35|高德地图|经济|首汽约车|57|
|36|高德地图|拼车|出租车拼车|63|
|37|高德地图|特价出发|惊喜特价|74|
|38|高德地图|快速出发|无|77|
|39|高德地图|惠享专车|T3出行|89|
|40|高德地图|推荐|特惠快车|94|
|41|高德地图|推荐|极速拼车|98|
|42|高德地图|豪华型|undefined|73-74|",,,"[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特价车,特价出发,特价出发,无,特惠快车,特惠快车,False,,False,0,,0,0,,0,1.060651302,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,万晓蓉,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '享道出行'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '星徽出行'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '环旅出行'}, {'优享型': '阳光出行'}, {'优享型': '风韵出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'拼车': '出租车拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '900出行'}, {'经济型': 'J刻出行'}, {'经济型': 'T3出行'}, {'经济型': '全民GO'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '斑马快跑'}, {'经济型': '方舟行'}, {'经济型': '旗妙出行'}, {'经济型': '星徽出行'}, {'经济型': '深圳出租'}, {'经济型': '渔阳出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",特价出发,特惠快车,,我要去靖西通灵大峡谷，叫辆特价车
Qwen2.5-32B-Instruct,需要到南靖云水谣，帮叫一辆特价车，费用约80块,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|28-28|
|1|高德地图|     |特惠快车|30-33|
|2|高德地图|经济型|日初出行|33|
|3|高德地图|经济型|曹操出行|33|
|4|高德地图|经济型|首汽约车|33|
|5|高德地图|经济型|深圳出租|33|
|6|高德地图|经济型|900出行|33|
|7|高德地图|经济型|星徽出行|34|
|8|高德地图|经济型|飞嘀打车|34|
|9|高德地图|经济型|东潮出行|34|
|10|高德地图|经济型|橄榄新出租|35|
|11|高德地图|经济型|聚的新出租|35|
|12|高德地图|经济型|旅程出租|36|
|13|高德地图|经济型|妥妥E行|36|
|14|高德地图|经济型|及时用车|37|
|15|高德地图|经济型|斑马快跑|37|
|16|高德地图|经济型|奇华出行|37|
|17|高德地图|经济型|阳光出行|37|
|18|高德地图|经济型|有序出行|37|
|19|高德地图|经济型|神州专车|37|
|20|高德地图|经济型|中军出行|37|
|21|高德地图|特快车|超值体验 更快上车|40|
|22|高德地图|出租车|车多应答快|43|
|23|高德地图|优享型|腾飞出行|45|
|24|高德地图|优享型|旗妙出行|45|
|25|高德地图|优享型|全民GO|45|
|26|高德地图|优享型|添猫出行|45|
