车列表名称,车列表参数,车型理解,车列表,sysSessionId,模型1返回结果,input,output,output标准答案,模型2返回结果,模型2标准答案,模型1三大项标注,模型1最快打车意图标注,app字段准确性,category，mode车型字段准确性,"price，price_min, price_max价格字段准确性",fast最快打车意图字段准确性,模型2准确率,模型2召回率,
,,苏州火车站到金鸡湖打的，记得选特价分类更划算,滴滴车列表,sessionId20250624lhx1011,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n苏州火车站到金鸡湖打的，记得选特价分类更划算\n\n"",""exts"":""{\""userHistoryInputContent\"":\""苏州火车站到金鸡湖打的，记得选特价分类更划算\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特价分类"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '4', '6', '7', '22', '29']","['2','4','6','7','22','29']",1,1,1,1,1,1,1,1,
,,郑州东站去CBD开会，帮我预约个拼车服务的车辆,滴滴车列表,sessionId20250624lhx1012,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n郑州东站去CBD开会，帮我预约个拼车服务的车辆\n\n"",""exts"":""{\""userHistoryInputContent\"":\""郑州东站去CBD开会，帮我预约个拼车服务的车辆\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5', '24']","['1','4','5','24']",1,1,1,1,1,1,1,1,
,,天津滨海机场到古文化街需要舒适型车辆，听说那边游客多,滴滴车列表,sessionId20250624lhx1013,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n天津滨海机场到古文化街需要舒适型车辆，听说那边游客多\n\n"",""exts"":""{\""userHistoryInputContent\"":\""天津滨海机场到古文化街需要舒适型车辆，听说那边游客多\""}""}]","```json
[{""app"": ""无"", ""category"": ""舒适型车辆"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""舒适型车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '15']","['14','15']",1,1,1,1,1,1,1,1,
,,鼓浪屿的轮渡快停了，厦门高崎机场选六座车大类赶时间,滴滴车列表,sessionId20250624lhx1014,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n鼓浪屿的轮渡快停了，厦门高崎机场选六座车大类赶时间\n\n"",""exts"":""{\""userHistoryInputContent\"":\""鼓浪屿的轮渡快停了，厦门高崎机场选六座车大类赶时间\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,崂山景区的货物要送，青岛北站下单快车类目的车,滴滴车列表,sessionId20250624lhx1015,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n崂山景区的货物要送，青岛北站下单快车类目的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""崂山景区的货物要送，青岛北站下单快车类目的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '3', '7', '8', '9', '10', '11', '12', '13']","['2','3','7','8','9','10','11','12','13']",1,1,1,1,1,1,1,1,
,,珠海拱北口岸到长隆的城际车型，适合带行李的团队出行,滴滴车列表,sessionId20250624lhx1016,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n珠海拱北口岸到长隆的城际车型，适合带行李的团队出行\n\n"",""exts"":""{\""userHistoryInputContent\"":\""珠海拱北口岸到长隆的城际车型，适合带行李的团队出行\""}""}]","```json
[{""app"": ""无"", ""category"": ""城际车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""城际车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['24', '25']","['24','25']",1,1,1,1,1,1,1,1,
,,下午要去广州塔拍摄，从佛山祖庙打的优先推荐大类车型,滴滴车列表,sessionId20250624lhx1017,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n下午要去广州塔拍摄，从佛山祖庙打的优先推荐大类车型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""下午要去广州塔拍摄，从佛山祖庙打的优先推荐大类车型\""}""}]","```json
[{""app"": ""无"", ""category"": ""优先推荐大类车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""推荐"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '2', '3', '23', '26', '27', '28', '29']","['1','2','3','23','26','27','28','29']",1,1,1,1,1,1,1,1,
,,东莞虎门到深圳北站指定快速大类，有个重要客户见面会,滴滴车列表,sessionId20250624lhx1018,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n东莞虎门到深圳北站指定快速大类，有个重要客户见面会\n\n"",""exts"":""{\""userHistoryInputContent\"":\""东莞虎门到深圳北站指定快速大类，有个重要客户见面会\""}""}]","```json
[{""app"": ""无"", ""category"": ""快速"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""快速"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['8', '9', '10', '11', '12', '13']","['2', '3', '7', '8', '9', '10', '11', '12', '13']",1,1,1,1,1,1,1,0.67,
,,沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴,滴滴车列表,sessionId20250624lhx1019,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴\n\n"",""exts"":""{\""userHistoryInputContent\"":\""沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴\""}""}]","```json
[{""app"": ""无"", ""category"": ""舒适型服务"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""舒适型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '15']","['14','15']",1,1,1,1,1,1,1,1,
,,大明湖到遥墙机场预约特价分类，顺便捎带会议资料,滴滴车列表,sessionId20250624lhx1020,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n大明湖到遥墙机场预约特价分类，顺便捎带会议资料\n\n"",""exts"":""{\""userHistoryInputContent\"":\""大明湖到遥墙机场预约特价分类，顺便捎带会议资料\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价分类"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '4', '6', '7', '22', '29']","['2','4','6','7','22','29']",1,1,1,1,1,1,1,1,
,,福州火车站去三坊七巷考察，选拼车类目比较经济实惠,滴滴车列表,sessionId20250624lhx1021,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n福州火车站去三坊七巷考察，选拼车类目比较经济实惠\n\n"",""exts"":""{\""userHistoryInputContent\"":\""福州火车站去三坊七巷考察，选拼车类目比较经济实惠\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5', '24']","['1','4','5','24']",1,1,1,1,1,1,1,1,
,,合肥南站到政务区要六座车型，部门团建正好坐得下,滴滴车列表,sessionId20250624lhx1022,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n合肥南站到政务区要六座车型，部门团建正好坐得下\n\n"",""exts"":""{\""userHistoryInputContent\"":\""合肥南站到政务区要六座车型，部门团建正好坐得下\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,昆明长水机场到滇池需要快车服务，展会展板急需运送,滴滴车列表,sessionId20250624lhx1023,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n昆明长水机场到滇池需要快车服务，展会展板急需运送\n\n"",""exts"":""{\""userHistoryInputContent\"":\""昆明长水机场到滇池需要快车服务，展会展板急需运送\""}""}]","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '3', '7', '8', '9', '10', '11', '12', '13']","['2','3','7','8','9','10','11','12','13']",1,1,1,1,1,1,1,1,
,,南宁东站去青秀山团建，指定城际分类的城际拼车接送,滴滴车列表,sessionId20250624lhx1024,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南宁东站去青秀山团建，指定城际分类的城际拼车接送\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南宁东站去青秀山团建，指定城际分类的城际拼车接送\""}""}]","```json
[{""app"": ""无"", ""category"": ""城际拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""城际拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['24'],"['1', '4', '5', '24']",1,1,1,1,1,1,1,0.25,
,,长沙五一广场到黄花机场筛选推荐大类，国际航班要准时,滴滴车列表,sessionId20250624lhx1025,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n长沙五一广场到黄花机场筛选推荐大类，国际航班要准时\n\n"",""exts"":""{\""userHistoryInputContent\"":\""长沙五一广场到黄花机场筛选推荐大类，国际航班要准时\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""推荐"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29']","['1','2','3','23','26','27','28','29']",0,1,1,0,1,1,0,1,
,,首都机场接专家，北京国贸叫辆特惠快车现在就要出发,滴滴车列表,sessionId20250624lhx1026,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n首都机场接专家，北京国贸叫辆特惠快车现在就要出发\n\n"",""exts"":""{\""userHistoryInputContent\"":\""首都机场接专家，北京国贸叫辆特惠快车现在就要出发\""}""}]","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['2', '7']","['2','7']",1,1,1,1,1,1,1,1,
,,陆家嘴到迪士尼的行程，使用花小猪外接版车型的车，带孩子去玩,滴滴车列表,sessionId20250624lhx1027,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n陆家嘴到迪士尼的行程，使用花小猪外接版车型的车，带孩子去玩\n\n"",""exts"":""{\""userHistoryInputContent\"":\""陆家嘴到迪士尼的行程，使用花小猪外接版车型的车，带孩子去玩\""}""}]","```json
[{""app"": ""花小猪"", ""category"": ""无"", ""mode"": ""外接版车型"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪外接版车型"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['6', '26']","['6', '8', '26']",1,1,0,1,1,1,1,0.67,
,,广州体育西路到白云山踏青，需要曹操出行车型的车,滴滴车列表,sessionId20250624lhx1028,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n广州体育西路到白云山踏青，需要曹操出行车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""广州体育西路到白云山踏青，需要曹操出行车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['9'],['9'],1,1,1,1,1,1,1,1,
,,宝安机场到腾讯大厦选特快出租车，带着机密文件不能耽误,滴滴车列表,sessionId20250624lhx1029,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n宝安机场到腾讯大厦选特快出租车，带着机密文件不能耽误\n\n"",""exts"":""{\""userHistoryInputContent\"":\""宝安机场到腾讯大厦选特快出租车，带着机密文件不能耽误\""}""}]","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10', '12']",1,1,1,1,1,0,1,1,
,,成都宽窄巷子到熊猫基地下单滴滴特快，外国客户急着参观,滴滴车列表,sessionId20250624lhx1030,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n成都宽窄巷子到熊猫基地下单滴滴特快，外国客户急着参观\n\n"",""exts"":""{\""userHistoryInputContent\"":\""成都宽窄巷子到熊猫基地下单滴滴特快，外国客户急着参观\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""特快"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""滴滴"", ""category"": ""特快"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['8', '9', '10', '11', '12', '13']","['2','3', '7', '10', '11','13']",1,1,1,1,1,0,0,0.5,
,,阿里巴巴西溪园区到西湖叫出租车，顺便给游客做产品演示,滴滴车列表,sessionId20250624lhx1031,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n阿里巴巴西溪园区到西湖叫出租车，顺便给游客做产品演示\n\n"",""exts"":""{\""userHistoryInputContent\"":\""阿里巴巴西溪园区到西湖叫出租车，顺便给游客做产品演示\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10','12']",1,1,1,1,1,1,1,1,
,,南京新街口到中山陵使用滴滴快车，临时决定的团建活动,滴滴车列表,sessionId20250624lhx1032,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南京新街口到中山陵使用滴滴快车，临时决定的团建活动\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南京新街口到中山陵使用滴滴快车，临时决定的团建活动\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""滴滴"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '13']","['2', '3', '7', '8', '9', '10', '11', '12', '13']",1,1,1,1,1,0,1,0.22,
,,洪崖洞到磁器口预约滴滴专车，接待重要投资方考察项目,滴滴车列表,sessionId20250624lhx1033,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n洪崖洞到磁器口预约滴滴专车，接待重要投资方考察项目\n\n"",""exts"":""{\""userHistoryInputContent\"":\""洪崖洞到磁器口预约滴滴专车，接待重要投资方考察项目\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '16', '28']","['14', '16' ,'28']",1,1,1,1,1,1,1,1,
