query,车辆候选列表,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,think_time,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
用高德打个聚优出租去创新大厦，价格不超过80元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|5|高德地图|经济型|鞍马出行|65|
|6|高德地图|经济型|鞍马聚的新出租|65|
|7|高德地图|经济型|渔阳出行|66|
|8|高德地图|经济型|添猫出行|66|
|9|高德地图|经济型|妥妥E行|67|
|10|高德地图|经济型|东潮出行|67|
|11|高德地图|经济型|AA出行|67|
|12|高德地图|经济型|神州专车|67|
|13|高德地图|经济型|首汽约车|68|
|14|高德地图|经济型|T3出行|68|
|15|高德地图|经济型|聚的新出租|68|
|16|高德地图|经济型|中军出行|68|
|17|高德地图|经济型|风韵出行|68|
|18|高德地图|经济型|及时用车|68|
|19|高德地图|经济型|阳光出行|69|
|20|高德地图|经济型|聚优出租|69|
|21|高德地图|特快车|超值体验 更快上车|73|
|22|高德地图|出租车|车多应答快|80|
|23|高德地图|优享型|妥妥E行|88|
|24|高德地图|优享型|旅程专车|88|
|25|高德地图|优享型|风韵出行|88|
|26|高德地图|优享型|全民GO|88|
|27|高德地图|优享型|T3出行|88|
|28|高德地图|优享型|曹操出行|88|
|29|高德地图|优享型|享道出行|89|
|30|高德地图|优享型|及时用车|89|
|31|高德地图|优享型|斑马快跑|90|
|32|高德地图|优享型|神州专车|90|
|33|高德地图|优享型|东潮出行|91|
|34|高德地图|优享型|中交出行|91|
|35|高德地图|优享型|星徽出行|91|
|36|高德地图|优享型|阳光出行|91|
|37|高德地图|轻享专车|静音不打扰 整洁无异味|98|
|38|高德地图|品质专车|静音不打扰 整洁无异味|110|
|39|高德地图|六座商务|宽敞空间 商务体验|119|
|40|高德地图|豪华型|车型高端 服务专业|132|
|41|高德地图|经济|首汽约车|147|
|42|高德地图|拼车|出租车拼车|158|
|43|高德地图|拼车|特惠快车|161|
|44|高德地图|特价出发|更多特价|175|
|45|高德地图|快速出发|无|192|
|46|高德地图|惠享专车|曹操出行|212|
|47|高德地图|惠享专车|神州专车|212|
|48|高德地图|推荐|特惠快车|235|
|49|高德地图|豪华型|undefined|148-150|","[{""app"": ""高德"", ""category"": ""出租车"", ""mode"": ""鞍马聚的新出租"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,出租车,无,鞍马聚的新出租,"聚的新出租,鞍马聚的新出租",False,0,0,19.61082196,直接命中车小类关键字但answer中没有或错误,,唐楠,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旅程专车""}, {""优享型"": ""星徽出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""曹操出行""}, {""惠享专车"": ""神州专车""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""南京出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""易至出行""}, {""经济型"": ""添猫出行""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""阳光出行""}, {""经济型"": ""鞍马出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""风韵出行""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用高德打车去河西万达广场，用鞍马聚的新出租。  ,出租车,"聚的新出租,鞍马聚的新出租",
准备叫个车去珠江路地铁站，用鞍马聚的新出租。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|50-51|
|1|高德地图|     |特惠快车|54-56|
|2|高德地图|经济型|易至出行|60|
|3|高德地图|经济型|旅程出租|60|
|4|高德地图|经济型|享道出行|61|
|5|高德地图|经济型|聚优出行|61|
|6|高德地图|经济型|鞍马聚的新出租|61|
|7|高德地图|经济型|聚的出租车|61|
|8|高德地图|经济型|中交出行|61|
|9|高德地图|经济型|渔阳出行|62|
|10|高德地图|经济型|环旅出行|62|
|11|高德地图|经济型|J刻出行|62|
|12|高德地图|经济型|旗妙出行|62|
|13|高德地图|经济型|斑马快跑|62|
|14|高德地图|经济型|神州专车|62|
|15|高德地图|经济型|900出行|62|
|16|高德地图|经济型|方舟行|63|
|17|高德地图|经济型|迪尔出行|63|
|18|高德地图|经济型|有滴出行|63|
|19|高德地图|经济型|聚的新出租|63|
|20|高德地图|经济型|中军出行|64|
|21|高德地图|经济型|腾飞出行|64|
|22|高德地图|经济型|北京新出租|64|
|23|高德地图|经济型|及时用车|64|
|24|高德地图|特快车|超值体验 更快上车|67|
|25|高德地图|出租车|鞍马聚的-高档出租车|74|
|26|高德地图|优享型|首汽约车|81|
|27|高德地图|优享型|腾飞出行|81|
|28|高德地图|优享型|风韵出行|82|
|29|高德地图|优享型|环旅出行|82|
|30|高德地图|优享型|及时用车|82|
|31|高德地图|优享型|旗妙出行|83|
|32|高德地图|优享型|飞嘀打车|83|
|33|高德地图|优享型|神州专车|84|
|34|高德地图|优享型|斑马快跑|84|
|35|高德地图|优享型|东潮出行|84|
|36|高德地图|优享型|优e出行特选|84|
|37|高德地图|优享型|添猫出行|84|
|38|高德地图|优享型|星徽出行|85|
|39|高德地图|优享型|阳光出行|85|
|40|高德地图|轻享专车|静音不打扰 整洁无异味|93|
|41|高德地图|品质专车|静音不打扰 整洁无异味|100|
|42|高德地图|六座商务|宽敞空间 商务体验|108|
|43|高德地图|豪华型|车型高端 服务专业|122|
|44|高德地图|经济|首汽约车|134|
|45|高德地图|拼车|出租车拼车|148|
|46|高德地图|拼车|特惠快车|149|
|47|高德地图|特价出发|更多特价|160|
|48|高德地图|特价出发|惊喜特价|161|
|49|高德地图|快速出发|无|179|
|50|高德地图|惠享专车|好车好服务|195|
|51|高德地图|推荐|极速拼车|215|
|52|高德地图|豪华型|undefined|136-137|","[{""app"": ""无"", ""category"": ""新出租"", ""mode"": ""鞍马聚"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,新出租,无,鞍马聚,"鞍马聚的新出租,聚的出租车,鞍马聚的-高档出租车",False,0,0,16.27829909,直接命中车小类关键字但answer中没有或错误,,唐楠,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""东潮出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""及时用车""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""星徽出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""优享型"": ""飞嘀打车""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""好车好服务""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""极速拼车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""900出行""}, {""经济型"": ""J刻出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""方舟行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""环旅出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出行""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""鞍马聚的新出租""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,准备叫个车去珠江路地铁站，用鞍马聚的新出租。  ,新出租,"鞍马聚的新出租,聚的出租车,鞍马聚的-高档出租车",
麻烦用高德叫个鞍马聚的新出租去鸡鸣寺。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|58-58|
|1|高德地图|     |特惠快车|64-67|
|2|高德地图|经济型|南京出租|69|
|3|高德地图|经济型|腾飞新出租|69|
|4|高德地图|经济型|易至出行|69|
|5|高德地图|经济型|聚优出行|69|
|6|高德地图|经济型|日初出行|69|
|7|高德地图|经济型|渔阳出行|70|
|8|高德地图|经济型|添猫出行|70|
|9|高德地图|经济型|旗妙出行|71|
|10|高德地图|经济型|斑马快跑|71|
|11|高德地图|经济型|东潮出行|71|
|12|高德地图|经济型|有序出行|71|
|13|高德地图|经济型|神州专车|71|
|14|高德地图|经济型|首汽约车|71|
|15|高德地图|经济型|T3出行|71|
|16|高德地图|经济型|365约车|72|
|17|高德地图|经济型|中军出行|72|
|18|高德地图|经济型|腾飞出行|72|
|19|高德地图|经济型|风韵出行|72|
|20|高德地图|经济型|如祺出行|73|
|21|高德地图|经济型|聚优出租|73|
|22|高德地图|特快车|超值体验 更快上车|79|
|23|高德地图|出租车|车多应答快|85|
|24|高德地图|优享型|旅程专车|93|
|25|高德地图|优享型|腾飞出行|93|
|26|高德地图|优享型|风韵出行|95|
|27|高德地图|优享型|T3出行|95|
|28|高德地图|优享型|享道出行|96|
|29|高德地图|优享型|神州专车|97|
|30|高德地图|优享型|东潮出行|97|
|31|高德地图|优享型|中交出行|97|
|32|高德地图|优享型|优e出行特选|97|
|33|高德地图|优享型|首汽约车|97|
|34|高德地图|优享型|阳光出行|97|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|107|
|36|高德地图|品质专车|静音不打扰 整洁无异味|116|
|37|高德地图|六座商务|宽敞空间 商务体验|126|
|38|高德地图|豪华型|车型高端 服务专业|140|
|39|高德地图|经济|首汽约车|156|
|40|高德地图|拼车|出租车拼车|170|
|41|高德地图|特价出发|惊喜特价|187|
|42|高德地图|快速出发|无|206|
|43|高德地图|惠享专车|精选车型 优质司机|225|
|44|高德地图|推荐|极速拼车|248|
|45|高德地图|豪华型|undefined|155-160|","[{""app"": ""高德"", ""category"": ""出租车"", ""mode"": ""鞍马聚"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,出租车,无,鞍马聚,无,False,0,0,10.53824353,answer下的车型必须存在于“车辆候选列表”,,唐楠,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""旅程专车""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""精选车型 优质司机""}, {""拼车"": ""出租车拼车""}, {""推荐"": ""极速拼车""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""南京出租""}, {""经济型"": ""如祺出行""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""日初出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""添猫出行""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚优出行""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""风韵出行""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,麻烦用高德叫个鞍马聚的新出租去鸡鸣寺。  ,出租车,鞍马聚,
叫个车去总统府景区，用鞍马聚的新出租，价格在80元左右。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|54-54|
|1|高德地图|     |特惠快车|61-63|
|2|高德地图|经济型|南京出租|65|
|3|高德地图|经济型|旅程出租|65|
|4|高德地图|经济型|易至出行|66|
|5|高德地图|经济型|鞍马聚的新出租|66|
|6|高德地图|经济型|日初出行|66|
|7|高德地图|经济型|中交出行|66|
|8|高德地图|经济型|J刻出行|67|
|9|高德地图|经济型|有序出行|67|
|10|高德地图|经济型|神州专车|67|
|11|高德地图|经济型|AA出行|67|
|12|高德地图|经济型|星徽出行|67|
|13|高德地图|经济型|奇华出行|67|
|14|高德地图|经济型|T3出行|67|
|15|高德地图|经济型|365约车|68|
|16|高德地图|经济型|腾飞出行|68|
|17|高德地图|经济型|曹操出行|69|
|18|高德地图|经济型|及时用车|69|
|19|高德地图|经济型|飞嘀打车|69|
|20|高德地图|经济型|聚优出租|69|
|21|高德地图|特快车|超值体验 更快上车|73|
|22|高德地图|出租车|车多应答快|82|
|23|高德地图|出租车|鞍马聚的-高档出租车|82|
|24|高德地图|优享型|旅程专车|88|
|25|高德地图|优享型|腾飞出行|88|
|26|高德地图|优享型|T3出行|89|
|27|高德地图|优享型|及时用车|89|
|28|高德地图|优享型|AA出行|89|
|29|高德地图|优享型|中交出行|91|
|30|高德地图|优享型|优e出行特选|91|
|31|高德地图|优享型|首汽约车|92|
|32|高德地图|优享型|环旅出行|92|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|98|
|34|高德地图|品质专车|静音不打扰 整洁无异味|109|
|35|高德地图|六座商务|宽敞空间 商务体验|121|
|36|高德地图|豪华型|车型高端 服务专业|130|
|37|高德地图|经济|首汽约车|146|
|38|高德地图|拼车|特惠快车|158|
|39|高德地图|特价出发|更多特价|177|
|40|高德地图|特价出发|惊喜特价|177|
|41|高德地图|快速出发|无|195|
|42|高德地图|惠享专车|曹操出行|212|
|43|高德地图|推荐|特惠快车|232|
|44|高德地图|推荐|极速拼车|233|
|45|高德地图|豪华型|undefined|147-150|","[{""app"": ""鞍马聚"", ""category"": ""无"", ""mode"": ""新出租"", ""price"": True, ""price_min"": 0, ""price_max"": 80, ""fast"": False}]",鞍马聚,,无,,新出租,"鞍马聚的新出租,鞍马聚的-高档出租车",True,0,80,16.62040472,直接命中车小类关键字但answer中没有或错误,,唐楠,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""T3出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""及时用车""}, {""优享型"": ""旅程专车""}, {""优享型"": ""环旅出行""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""曹操出行""}, {""拼车"": ""特惠快车""}, {""推荐"": ""极速拼车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""J刻出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""南京出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""奇华出行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""日初出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""星徽出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,叫个车去总统府景区，用鞍马聚的新出租，价格在80元左右。  ,无,"鞍马聚的新出租,鞍马聚的-高档出租车",
用高德帮我打个车去南京眼步行桥，用鞍马聚的新出租。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|59-59|
|1|高德地图|     |特惠快车|65-66|
|2|高德地图|经济型|南京出租|71|
|3|高德地图|经济型|腾飞新出租|71|
|4|高德地图|经济型|易至出行|71|
|5|高德地图|经济型|鞍马出行|72|
|6|高德地图|经济型|享道出行|72|
|7|高德地图|经济型|旅程出租|72|
|8|高德地图|经济型|鞍马聚的新出租|72|
|9|高德地图|经济型|聚的出租车|73|
|10|高德地图|经济型|日初出行|73|
|11|高德地图|经济型|全民GO|73|
|12|高德地图|经济型|添猫出行|73|
|13|高德地图|经济型|旗妙出行|73|
|14|高德地图|经济型|斑马快跑|74|
|15|高德地图|经济型|东潮出行|74|
|16|高德地图|经济型|AA出行|74|
|17|高德地图|经济型|神州专车|74|
|18|高德地图|经济型|T3出行|74|
|19|高德地图|经济型|北京的士|74|
|20|高德地图|经济型|有滴出行|75|
|21|高德地图|经济型|及时用车|75|
|22|高德地图|经济型|如祺出行|75|
|23|高德地图|经济型|聚优出租|75|
|24|高德地图|特快车|超值体验 更快上车|82|
|25|高德地图|出租车|车多应答快|90|
|26|高德地图|优享型|妥妥E行|95|
|27|高德地图|优享型|星徽出行|95|
|28|高德地图|优享型|T3出行|95|
|29|高德地图|优享型|曹操出行|95|
|30|高德地图|优享型|火箭出行|96|
|31|高德地图|优享型|及时用车|96|
|32|高德地图|优享型|旗妙出行|97|
|33|高德地图|优享型|飞嘀打车|97|
|34|高德地图|优享型|斑马快跑|97|
|35|高德地图|优享型|东潮出行|98|
|36|高德地图|优享型|中交出行|98|
|37|高德地图|优享型|优e出行特选|98|
|38|高德地图|优享型|首汽约车|98|
|39|高德地图|优享型|环旅出行|98|
|40|高德地图|优享型|阳光出行|99|
|41|高德地图|轻享专车|静音不打扰 整洁无异味|105|
|42|高德地图|品质专车|静音不打扰 整洁无异味|116|
|43|高德地图|六座商务|宽敞空间 商务体验|129|
|44|高德地图|豪华型|车型高端 服务专业|143|
|45|高德地图|经济|首汽约车|154|
|46|高德地图|拼车|出租车拼车|170|
|47|高德地图|拼车|特惠快车|170|
|48|高德地图|特价出发|更多特价|190|
|49|高德地图|快速出发|无|206|
|50|高德地图|惠享专车|神州专车|231|
|51|高德地图|推荐|特惠快车|251|
|52|高德地图|豪华型|undefined|162-164|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""鞍马聚的新出租"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,无,,鞍马聚的新出租,"聚的出租车,鞍马聚的新出租",False,0,0,17.09823942,,,唐楠,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""星徽出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""飞嘀打车""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""神州专车""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""北京的士""}, {""经济型"": ""南京出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""如祺出行""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""旅程出租""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""日初出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""添猫出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""鞍马出行""}, {""经济型"": ""鞍马聚的新出租""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用高德帮我打个车去南京眼步行桥，用鞍马聚的新出租。  ,无,"聚的出租车,鞍马聚的新出租",
打个车去禄口机场T2航站楼，用鞍马聚的新出租，高德下单。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|59-59|
|1|高德地图|     |特惠快车|65-66|
|2|高德地图|经济型|南京出租|71|
|3|高德地图|经济型|易至出行|71|
|4|高德地图|经济型|鞍马出行|71|
|5|高德地图|经济型|享道出行|72|
|6|高德地图|经济型|旅程出租|72|
|7|高德地图|经济型|聚的出租车|72|
|8|高德地图|经济型|渔阳出行|72|
|9|高德地图|经济型|添猫出行|73|
|10|高德地图|经济型|环旅出行|73|
|11|高德地图|经济型|神州专车|73|
|12|高德地图|经济型|AA出行|73|
|13|高德地图|经济型|东潮出行|74|
|14|高德地图|经济型|首汽约车|74|
|15|高德地图|经济型|T3出行|74|
|16|高德地图|经济型|聚的新出租|74|
|17|高德地图|经济型|风韵出行|74|
|18|高德地图|经济型|曹操出行|75|
|19|高德地图|经济型|如祺出行|75|
|20|高德地图|经济型|聚优出租|75|
|21|高德地图|特快车|超值体验 更快上车|79|
|22|高德地图|出租车|车多应答快|86|
|23|高德地图|优享型|旅程专车|95|
|24|高德地图|优享型|风韵出行|96|
|25|高德地图|优享型|曹操出行|97|
|26|高德地图|优享型|及时用车|98|
|27|高德地图|优享型|斑马快跑|98|
|28|高德地图|优享型|神州专车|98|
|29|高德地图|优享型|AA出行|98|
|30|高德地图|优享型|东潮出行|98|
|31|高德地图|优享型|全民GO|99|
|32|高德地图|优享型|添猫出行|99|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|105|
|34|高德地图|品质专车|静音不打扰 整洁无异味|116|
|35|高德地图|六座商务|宽敞空间 商务体验|129|
|36|高德地图|豪华型|车型高端 服务专业|142|
|37|高德地图|经济|首汽约车|154|
|38|高德地图|拼车|出租车拼车|173|
|39|高德地图|拼车|特惠快车|173|
|40|高德地图|特价出发|更多特价|188|
|41|高德地图|特价出发|惊喜特价|189|
|42|高德地图|快速出发|无|210|
|43|高德地图|惠享专车|及时用车|227|
|44|高德地图|惠享专车|精选车型 优质司机|228|
|45|高德地图|推荐|特惠快车|253|
|46|高德地图|推荐|极速拼车|253|
|47|高德地图|豪华型|undefined|157-160|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""鞍马聚的新出租"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,无,,鞍马聚的新出租,"聚的出租车,聚的新出租",False,0,0,14.40552521,answer下的车型必须存在于“车辆候选列表”,,唐楠,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旅程专车""}, {""优享型"": ""曹操出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""风韵出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""及时用车""}, {""惠享专车"": ""精选车型 优质司机""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""极速拼车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""南京出租""}, {""经济型"": ""如祺出行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""易至出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""添猫出行""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""环旅出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""鞍马出行""}, {""经济型"": ""风韵出行""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,打个车去禄口机场T2航站楼，用鞍马聚的新出租，高德下单。  ,无,"聚的出租车,聚的新出租",
叫个鞍马聚的新出租去虹悦城购物中心，价格不超过50元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|52-54|
|1|高德地图|     |特惠快车|59-61|
|2|高德地图|经济型|南京出租|63|
|3|高德地图|经济型|聚优出租|63|
|4|高德地图|经济型|鞍马出行|63|
|5|高德地图|经济型|享道出行|63|
|6|高德地图|经济型|方舟行|64|
|7|高德地图|经济型|橄榄新出租|64|
|8|高德地图|经济型|聚优出行|65|
|9|高德地图|经济型|阳光出行|65|
|10|高德地图|经济型|聚的出租车|65|
|11|高德地图|经济型|AA出行|65|
|12|高德地图|经济型|有滴出行|65|
|13|高德地图|经济型|渔阳出行|65|
|14|高德地图|经济型|首汽约车|66|
|15|高德地图|经济型|聚的新出租|67|
|16|高德地图|经济型|星徽出行|67|
|17|高德地图|经济型|中军出行|67|
|18|高德地图|特快车|超值体验 更快上车|72|
|19|高德地图|出租车|车多应答快|79|
|20|高德地图|优享型|旅程专车|84|
|21|高德地图|优享型|风韵出行|84|
|22|高德地图|优享型|曹操出行|86|
|23|高德地图|优享型|火箭出行|87|
|24|高德地图|优享型|飞嘀打车|87|
|25|高德地图|优享型|东潮出行|87|
|26|高德地图|优享型|AA出行|87|
|27|高德地图|优享型|中交出行|87|
|28|高德地图|优享型|优e出行特选|88|
