query,车辆候选列表,全匹配,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,,,,,
用高德，打个车去北京南站，用斑马快跑经济型，价格不超过100元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|7|滴滴|特价|花小猪外接版|26.23|
|8|滴滴|特价|惊喜特价|27.30|
|9|滴滴|特价|特惠快车|27.36|
|10|滴滴|快速|曹操出行|35.49|
|11|滴滴|快速|出租车|35.61|
|12|滴滴|快速|滴滴轻享|35.66|
|13|滴滴|快速|滴滴特快|35.99|
|14|滴滴|快速|滴滴优享|36.55|
|15|滴滴|快速|滴滴快车|37.32|
|16|滴滴|快速|宽敞好车|38.64|
|17|滴滴|快速|方舟行|41.06|
|18|滴滴|舒适|滴滴专车|59.43|
|19|滴滴|舒适|滴滴豪华车|61.73|
|20|滴滴|六座|六座专车|69.87|
|21|滴滴|六座|六座豪华车|71.59|",,"[{""app"": ""滴滴"", ""category"": ""舒适"", ""mode"": ""滴滴豪华车"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",滴滴,,舒适,无,滴滴豪华车,,TRUE,0,100000,,,王笑,,,,,
叫个特价中的花小猪外接版去橘子洲头地铁站，用滴滴，价格在20-25元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|18.22|
|1|滴滴|推荐|特惠快车|18.86|
|2|滴滴|推荐|滴滴快车|22.83|
|3|滴滴|推荐|特快出租车|24.03|
|4|滴滴|拼车|特价拼车|18.15-19.59|
|5|滴滴|拼车|极速拼车|22.59-23.63|
|6|滴滴|拼车|滴滴小巴|24.27-26.26|
|7|滴滴|特价|花小猪外接版|22.27|
|8|滴滴|特价|惊喜特价|24.87|
|9|滴滴|特价|特惠快车|26.76|
|10|滴滴|快速|曹操出行|32.12|
|11|滴滴|快速|出租车|32.64|
|12|滴滴|快速|滴滴轻享|34.86|
|13|滴滴|快速|滴滴特快|35.05|
|14|滴滴|快速|滴滴优享|35.05|
|15|滴滴|快速|滴滴快车|35.62|
|16|滴滴|快速|宽敞好车|36.02|
|17|滴滴|快速|方舟行|36.08|
|18|滴滴|舒适|滴滴专车|52.32|
|19|滴滴|六座|六座专车|68.66|",,"[{""app"": ""滴滴"", ""category"": ""特价车"", ""mode"": ""花小猪外接版"", ""price"": True, ""price_min"": 20, ""price_max"": 25, ""fast"": False}]",滴滴,,特价车,无,花小猪外接版,,TRUE,20,25,,,王笑,,,,,
用滴滴去鸟巢体育馆，选推荐中的滴滴快车，价格在55元上下。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|18.73|
|1|滴滴|推荐|特惠快车|20.20|
|2|滴滴|推荐|滴滴快车|20.73|
|3|滴滴|推荐|特快出租车|23.30|
|4|滴滴|推荐|滴滴特快|23.41|
|5|滴滴|推荐|宽敞好车|23.54|
|6|滴滴|拼车|特价拼车|16.80-18.76|
|7|滴滴|拼车|极速拼车|18.18-19.64|
|8|滴滴|特价|花小猪外接版|23.05|
|9|滴滴|特价|惊喜特价|23.50|
|10|滴滴|快速|曹操出行|32.74|
|11|滴滴|快速|出租车|34.66|
|12|滴滴|快速|滴滴轻享|35.11|
|13|滴滴|快速|滴滴特快|35.52|
|14|滴滴|快速|滴滴优享|36.24|
|15|滴滴|快速|滴滴快车|36.37|
|16|滴滴|快速|宽敞好车|36.60|
|17|滴滴|快速|方舟行|38.04|
|18|滴滴|快速|长沙新出租|38.57|
|19|滴滴|舒适|滴滴专车|45.53|
|20|滴滴|六座|六座专车|81.29|
|21|滴滴|六座|六座豪华车|83.91|",推荐|滴滴快车,"[{""app"": ""滴滴"", ""category"": ""快车"", ""mode"": ""滴滴快车"", ""price"": True, ""price_min"": 55, ""price_max"": 55, ""fast"": False}]",滴滴,,快车,无,滴滴快车,,TRUE,55,55,,,王笑,,,,,
打个快速中的方舟行去兵马俑博物馆，用滴滴，价格不超过85元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.89|
|1|滴滴|推荐|特惠快车|16.62|
|2|滴滴|推荐|滴滴快车|20.22|
|3|滴滴|拼车|特价拼车|9.46-10.69|
|4|滴滴|拼车|极速拼车|14.15-15.50|
|5|滴滴|特价|花小猪外接版|23.79|
|6|滴滴|快速|曹操出行|26.72|
|7|滴滴|快速|出租车|26.73|
|8|滴滴|快速|滴滴轻享|28.23|
|9|滴滴|快速|滴滴特快|29.93|
|10|滴滴|快速|滴滴优享|30.37|
|11|滴滴|快速|滴滴快车|30.53|
|12|滴滴|快速|宽敞好车|31.14|
|13|滴滴|快速|方舟行|31.16|
|14|滴滴|快速|长沙新出租|31.65|
|15|滴滴|舒适|滴滴专车|42.67|
|16|滴滴|舒适|滴滴豪华车|45.53|
|17|滴滴|六座|六座专车|59.49|
|18|滴滴|六座|六座豪华车|63.32|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""方舟行"", ""price"": True, ""price_min"": 0, ""price_max"": 85, ""fast"": False}]",滴滴,,无,,方舟行,,TRUE,0,85,,,王笑,,,,,
用滴滴帮我叫个推荐中的特快出租车去崂山风景区，价格在120元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.88|
|1|滴滴|推荐|特惠快车|16.21|
|2|滴滴|推荐|滴滴快车|16.80|
|3|滴滴|推荐|特快出租车|17.44|
|4|滴滴|推荐|滴滴特快|18.69|
|5|滴滴|推荐|宽敞好车|18.91|
|6|滴滴|拼车|特价拼车|14.15-16.00|
|7|滴滴|拼车|极速拼车|19.96-21.86|
|8|滴滴|特价|花小猪外接版|20.29|
|9|滴滴|特价|惊喜特价|21.66|
|10|滴滴|特价|特惠快车|25.48|
|11|滴滴|快速|曹操出行|31.00|
|12|滴滴|快速|出租车|31.40|
|13|滴滴|快速|滴滴轻享|31.90|
|14|滴滴|快速|滴滴特快|32.24|
|15|滴滴|快速|滴滴优享|33.87|
|16|滴滴|快速|滴滴快车|34.49|
|17|滴滴|快速|宽敞好车|34.92|
|18|滴滴|快速|方舟行|35.90|
|19|滴滴|快速|长沙新出租|36.45|
|20|滴滴|舒适|滴滴专车|46.40|
|21|滴滴|舒适|滴滴豪华车|47.98|
|22|滴滴|六座|六座专车|63.94|
|23|滴滴|六座|六座豪华车|64.05|",,"[{""app"": ""滴滴"", ""category"": ""特快"", ""mode"": ""无"", ""price"": True, ""price_min"": 120, ""price_max"": 120, ""fast"": False}]",滴滴,,特快,无,无,特快出租车,TRUE,120,120,,,王笑,,,,,
叫个快速中的昆明新出租去滇池海埂公园，用滴滴，价格在40-50元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|13.52|
|1|滴滴|推荐|特惠快车|14.69|
|2|滴滴|推荐|滴滴快车|16.76|
|3|滴滴|推荐|特快出租车|17.86|
|4|滴滴|推荐|滴滴特快|17.91|
|5|滴滴|拼车|特价拼车|19.92-20.96|
|6|滴滴|拼车|极速拼车|18.77-20.28|
|7|滴滴|特价|花小猪外接版|24.26|
|8|滴滴|特价|惊喜特价|27.19|
|9|滴滴|快速|曹操出行|31.90|
|10|滴滴|快速|出租车|32.16|
|11|滴滴|快速|滴滴轻享|32.31|
|12|滴滴|快速|滴滴特快|32.40|
|13|滴滴|快速|滴滴优享|32.41|
|14|滴滴|快速|滴滴快车|32.70|
|15|滴滴|快速|宽敞好车|35.40|
|16|滴滴|快速|方舟行|35.51|
|17|滴滴|舒适|滴滴专车|51.54|
|18|滴滴|舒适|滴滴豪华车|51.73|
|19|滴滴|六座|六座专车|60.89|
|20|滴滴|六座|六座豪华车|64.86|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""昆明新出租"", ""price"": True, ""price_min"": 40, ""price_max"": 50, ""fast"": False}]",滴滴,,无,,昆明新出租,无,TRUE,40,50,,,王笑,,,,,
用滴滴去横店影视城，选城际中的城际拼车，价格不超过200元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|25.49|
|1|滴滴|推荐|特惠快车|26.78|
|2|滴滴|推荐|滴滴快车|28.09|
|3|滴滴|推荐|特快出租车|29.29|
|4|滴滴|推荐|滴滴特快|29.45|
|5|滴滴|推荐|宽敞好车|29.51|
|6|滴滴|拼车|特价拼车|30.49-32.27|
|7|滴滴|拼车|极速拼车|29.83-31.83|
|8|滴滴|特价|花小猪外接版|37.63|
|9|滴滴|特价|惊喜特价|38.10|
|10|滴滴|快速|曹操出行|57.64|
|11|滴滴|快速|出租车|57.74|
|12|滴滴|快速|滴滴轻享|59.44|
|13|滴滴|快速|滴滴特快|59.45|
|14|滴滴|快速|滴滴优享|59.72|
|15|滴滴|快速|滴滴快车|60.85|
|16|滴滴|快速|宽敞好车|60.98|
|17|滴滴|快速|方舟行|62.36|
|18|滴滴|快速|长沙新出租|62.80|
|19|滴滴|舒适|滴滴专车|82.66|
|20|滴滴|六座|六座专车|112.49|
|21|滴滴|六座|六座豪华车|113.43|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""城际拼车"", ""price"": True, ""price_min"": 0, ""price_max"": 200, ""fast"": False}]",滴滴,,无,,城际拼车,无,TRUE,0,200,,,王笑,,,,,
打个推荐中的宽敞好车去千岛湖游船码头，用滴滴，价格在150元上下。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|12.54|
|1|滴滴|推荐|特惠快车|13.07|
|2|滴滴|推荐|滴滴快车|15.98|
|3|滴滴|推荐|特快出租车|17.14|
|4|滴滴|拼车|特价拼车|15.55-17.54|
|5|滴滴|拼车|极速拼车|14.30-15.43|
|6|滴滴|特价|花小猪外接版|17.45|
|7|滴滴|特价|惊喜特价|18.49|
|8|滴滴|快速|曹操出行|23.35|
|9|滴滴|快速|出租车|23.87|
|10|滴滴|快速|滴滴轻享|24.59|
|11|滴滴|快速|滴滴特快|25.75|
|12|滴滴|快速|滴滴优享|26.33|
|13|滴滴|快速|滴滴快车|27.01|
|14|滴滴|快速|宽敞好车|27.06|
|15|滴滴|快速|方舟行|27.15|
|16|滴滴|快速|长沙新出租|28.09|
|17|滴滴|舒适|滴滴专车|42.97|
|18|滴滴|六座|六座专车|58.64|
|19|滴滴|六座|六座豪华车|59.08|",,"[{""app"": ""滴滴"", ""category"": ""宽敞好车"", ""mode"": ""无"", ""price"": True, ""price_min"": 150, ""price_max"": 150, ""fast"": False}]",滴滴,,宽敞好车,无,无,,TRUE,150,150,,,王笑,,,,,
用滴滴帮我叫个快速中的滴滴优享去广州塔入口，价格在65元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|22.15|
|1|滴滴|推荐|特惠快车|22.96|
|2|滴滴|推荐|滴滴快车|24.10|
|3|滴滴|推荐|特快出租车|24.71|
|4|滴滴|推荐|滴滴特快|25.70|
|5|滴滴|拼车|特价拼车|21.53-22.62|
|6|滴滴|拼车|极速拼车|20.84-22.80|
|7|滴滴|拼车|滴滴小巴|27.72-29.68|
|8|滴滴|特价|花小猪外接版|30.37|
|9|滴滴|特价|惊喜特价|31.92|
|10|滴滴|快速|曹操出行|45.07|
|11|滴滴|快速|出租车|45.30|
|12|滴滴|快速|滴滴轻享|45.44|
|13|滴滴|快速|滴滴特快|45.94|
|14|滴滴|快速|滴滴优享|46.07|
|15|滴滴|快速|滴滴快车|47.10|
|16|滴滴|快速|宽敞好车|48.93|
|17|滴滴|舒适|滴滴专车|56.13|
|18|滴滴|六座|六座专车|97.83|
|19|滴滴|六座|六座豪华车|98.79|
|20|滴滴|六座|六座快车|101.02|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""滴滴优享"", ""price"": True, ""price_min"": 65, ""price_max"": 65, ""fast"": False}]",滴滴,,无,,滴滴优享,,TRUE,65,65,,,王笑,,,,,
叫个特价中的惊喜特价车去平遥古城北门，用滴滴，价格不超过30元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|30.18|
|1|滴滴|推荐|特惠快车|32.10|
|2|滴滴|推荐|滴滴快车|33.64|
|3|滴滴|拼车|特价拼车|28.30-29.76|
|4|滴滴|拼车|极速拼车|31.68-32.98|
|5|滴滴|特价|花小猪外接版|39.14|
|6|滴滴|特价|惊喜特价|41.86|
|7|滴滴|快速|曹操出行|58.92|
|8|滴滴|快速|出租车|59.15|
|9|滴滴|快速|滴滴轻享|59.48|
|10|滴滴|快速|滴滴特快|59.76|
|11|滴滴|快速|滴滴优享|59.82|
|12|滴滴|快速|滴滴快车|59.84|
|13|滴滴|快速|宽敞好车|60.10|
|14|滴滴|快速|方舟行|61.40|
|15|滴滴|快速|长沙新出租|63.87|
|16|滴滴|快速|武汉新出租|64.20|
|17|滴滴|舒适|滴滴专车|85.42|
|18|滴滴|舒适|滴滴豪华车|86.26|
|19|滴滴|六座|六座专车|106.41|
|20|滴滴|六座|六座豪华车|110.02|",,"[{""app"": ""滴滴"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",滴滴,,特价车,无,无,惊喜特价,TRUE,0,30,,,王笑,,,,,
