query,车型大类列表,车辆类型列表,车型大类,车辆类型,大类正确答案,小类正确答案
叫一辆去东南大学四牌楼校区的出租车,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['特快出租车，聚优出租，出租车']
打车去江宁织造府,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['快速，舒适出发，六座，特快车，拼车，经济，出租，特价拼车，特惠快车'],['花小猪外接版，滴滴快车，特惠快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，极速拼车，特价拼车，365约车，聚优出租，特快车，出租车'],['拼车，快速，舒适出发，六座，特快车，出租'],['极速拼车，花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车']
有没有去羊山公园的8座商务车？,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],[],[],[]
两人去雨花吾悦广场,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['特价，特惠快车，经济'],['特价拼车，特惠快车'],['经济，特价，特惠快车，特价拼车'],['特价拼车，特惠快车']
我要去砂之船奥莱,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['特快出租车，聚优出租，出租车']
叫个车去公司,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
打最便宜的车去明基医院,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车，特价'],['特价拼车，极速拼车'],[],[]
叫一辆20以内的专车,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],[],['滴滴专车、六座专车']
拼个车去新街口,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车，特价拼车'],['特价拼车，极速拼车'],['拼车、特价拼车'],['特价拼车、极速拼车']
去油坊桥地铁站最便宜的专车多少钱,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],[],['滴滴专车、六座专车']
给我找一辆3分钟内可以上车的专车,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],[],['专车']
去南京理工大,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['特价，快速，舒适出发，六座，特快车，出租，特惠快车'],['花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，特快车'],['特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租'],['花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
10分钟内能不能来一辆专车送我去火车站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['滴滴专车，六座专车'],[],['滴滴专车、六座专车']
打车去清凉山,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['特快出租车、聚优出租、出租车']
去金城花园,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
以最低价格打车去中胜地铁站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],['拼车、特价、快速、舒适出发、特惠快车、经济、特快车、出租、特价拼车'],['特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、特惠快车、365约车、聚优出租、特快车、出租车']
10分钟内来一辆六坐商务车去机场,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],['六坐商务车'],[]
20以内打车去新城科技园,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
打车去东南大学,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['特快出租车、聚优出租、出租车']
从武汉大学打车去高铁站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['快速，特价，舒适出发，六座，特惠快车，经济，特快车，出租'],['特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，特快车，365约车，聚优出租，出租车，花小猪外接版'],['特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租'],['花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
叫辆六座专车去黄兴广场,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],['六座'],['六座专车']
打车去总统府,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车，特价拼车'],['特价拼车，极速拼车'],['拼车、特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租、特价拼车'],['特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
打车去江苏省口腔医院,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车，特价拼车'],['特价拼车，极速拼车'],['拼车、特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租、特价拼车'],['特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
从南京南站打车去机场,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['特价，快速，舒适出发，六座，特惠快车，特快车，出租'],['花小猪外接版，特惠快车，滴滴快车，特快出租车，特快车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，出租车'],['特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租'],['花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
打车去河西龙湖天街,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['特快出租车、聚优出租、出租车']
打车去碧海蓝天,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车，特价拼车'],['特价拼车，极速拼车'],['拼车、特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租、特价拼车'],['特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
从翠林水城打车去高铁站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['特快出租车'],[],['特快出租车']
打车去吾悦广场,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
打车去西湖,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['特快出租车'],[],['特快出租车']
两个人打车去万象天地,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
打车去新街口,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
从成都宽窄巷子打车到熊猫基地,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车，特价拼车'],['特价拼车，极速拼车'],['拼车'],['特价拼车，极速拼车']
在长沙五一广场打车去岳麓山南门,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['快速，特惠快车'],['特惠快车，滴滴快车，特快出租车，特快车'],['快速，特惠快车，特快车'],['特惠快车，滴滴快车，特快出租车，特快车']
厦门中山路打车到曾厝垵民宿,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],['舒适出发'],['六座专车，滴滴专车']
打车到李子坝轻轨站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车'],['特价拼车，极速拼车'],[],[]
西安回民街打车去大唐不夜城,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
苏州平江路到金鸡湖景区,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
武汉江汉路步行街打车到东湖绿道,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['特价，特惠快车，经济'],['特价拼车，特惠快车'],['特价，特惠快车，经济，特价拼车'],['特价拼车，特惠快车']
青岛八大关打车到啤酒博物馆,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
杭州河坊街到西溪湿地北门,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
沈阳中街打车到棋盘山景区,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['舒适出发'],[],['舒适出发'],[]
南京夫子庙到玄武湖公园,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
天津意式风情街到古文化街,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],[],[]
宁波老外滩到天一阁博物馆,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
打车去安德门地铁站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
能否帮我叫一辆舒适型SUV去公司,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
我想要预约一辆经济型轿车去公司,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['出租'],['特快出租车，聚优出租，出租车'],[],['聚优出租']
需要一辆中高端的七座MPV,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
我需要一辆豪华SUV去参加一个活动,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
我现在需要从市中心打车到机场,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['舒适出发'],[],['舒适出发'],[]
我们有5个人打车去天龙寺地铁站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
我需要一辆豪华型轿车,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['滴滴豪华车'],['豪华型轿车'],['滴滴豪华车']
我要从南京南京南站打车去南京南京站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
打车去南京南站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
我在南京新街口,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['出租车，特快出租']
叫个车去公司,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
打最便宜的车去明基医院,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],['特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租'],['花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
叫一辆25以内的专车,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],[],['六座专车']
拼个车去新街口,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['拼车，特价拼车'],['特价拼车，极速拼车'],"['拼车', '特价拼车']","['特价拼车', '极速拼车']"
去油坊桥地铁站最便宜的专车多少钱？,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],[],['六座专车']
给我找一辆4分钟内可以上车的专车,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['六座专车'],[],['六座专车']
去南京理工大,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['特价，快速，舒适出发，六座，特惠快车，特快车，出租'],['花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，特快车，365约车，聚优出租，出租车'],['特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租'],['花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车']
15分钟内能不能来一辆专车送我去火车站？,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],['滴滴专车，六座专车'],[],['六座专车']
打车去清凉山,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],"['特快出租车', '聚优出租', '出租车']"
去金城花园,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
以最低价格打车去中胜地铁站,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
12分钟内来一辆六坐商务车去机场,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",['六座'],['六座专车'],[],[]
18以内打车去新城科技园,"['快速', '经济', '六座', '特快车', '特价拼车', '特价', '舒适出发', '出租', '拼车', '特惠快车']","['滴滴豪华车', '特快出租车', '极速拼车', '出租车', '花小猪外接版', '特价拼车', '365约车', '聚优出租', '特快车', '滴滴快车', '六座专车', '滴滴专车', '特惠快车']",[],[],[],[]
